qid,question_text,target,length
00002165364db923c7e6,How did Quebec nationalists see their province as a nation in the 1960s?,0,13
000032939017120e6e44,"Do you have an adopted dog, how would you encourage people to adopt and not shop?",0,16
0000412ca6e4628ce2cf,Why does velocity affect time? Does velocity affect space geometry?,0,10
000042bf85aa498cd78e,How did Otto von Guericke used the Magdeburg hemispheres?,0,9
0000455dfa3e01eae3af,Can I convert montra helicon D to a mountain bike by just changing the tyres?,0,15
00004f9a462a357c33be,"Is Gaza slowly becoming Auschwitz, Dachau or Treblinka for Palestinians?",0,10
00005059a06ee19e11ad,"Why does Quora automatically ban conservative opinions when reported, but does not do the same for liberal views?",0,18
0000559f875832745e2e,Is it crazy if I wash or wipe my groceries off? Germs are everywhere.,0,14
00005bd3426b2d0c8305,"Is there such a thing as dressing moderately, and if so, how is that different than dressing modestly?",0,18
00006e6928c5df60eacb,"Is it just me or have you ever been in this phase wherein you became ignorant to the people you once loved, completely disregarding their feelings/lives so you get to have something go your way and feel temporarily at ease. How did things change?",0,44
000075f67dd595c3deb5,What can you say about feminism?,0,6
000076f3b42776c692de,How were the Calgary Flames founded?,0,6
000089792b3fc8026741,"What is the dumbest, yet possibly true explanation for Trump being elected?",0,12
000092a90bcfbfe8cd88,Can we use our external hard disk as a OS as well as for data storage.will the data be affected?,0,20
000095680e41a9a6f6e3,"I am 30, living at home and have no boyfriend. I would love a boyfriend and my own home. How can I progress my situation?",0,25
0000a89942e3143e333a,What do you know about Bram Fischer and the Rivonia Trial?,0,11
0000b8e1279eaa0a7062,How difficult is it to find a good instructor to take a class near you?,0,15
0000bc0f62500f55959f,Have you licked the skin of a corpse?,0,8
0000ce6c31f14d3e09ec,Do you think Amazon will adopt an in house approach to manufacturing similar to the Tesla or Space X business models?,0,21
0000d329332845b8a7fa,How many baronies might exist within a county palatine?,0,9
0000dd973dfd35508c16,How I know whether a girl had done sex before sex with me?,0,13
0000e4d455f9c8877dc9,How do I become a fast learner both in my professional career and in my personal life?,0,17
000101ac65db6e4a1c13,"What is the strangest phenomenon you know of, have witnessed or have generated in the area of electronics that has no explanation in terms of modern physics?",0,27
00010632971fe5e3e0e2,Should I leave my friends and find new ones?,0,9
00010a2e064c3e8f152a,Can you make Amazon Alexa trigger events in the browser?,0,10
00012011b6c7759461e8,Why haven't two democracies never ever went for a full fledged war? What stops them?,0,15
00012fd5128d576260ab,How can I top CBSE in 6 months?,0,8
0001303b1799a042b26b,What should I know before visiting Mcleodganj and doing the Triund trek?,0,12
00013a8152b5f37b780e,How do modern military submarines reduce noise to achieve stealth?,0,10
00014b4f153c26b02df2,How can I remove black heads which are all over my nose?,0,12
00017146167b4072ae5f,"If lightsabers are created by individual wielders, does each saber have unique powers/abilities?",0,13
00017aad73813a93e79d,Is anyone still using Visual Basic? Is it worth learning in 2018? Would there be professional jobs for Visual Basic programmers in 2018-19-20?,0,23
00017b03f780a558fb23,What is Sykes Enterprises all about?,0,6
0001919a5af9610c95c9,Is there any clear relations between the number of nodes/DOFs and the computational performances and requirements in FEA or CFD analyses (for ANSYS solutions in particular)?,0,26
00019e410e5002f1dc8d,"Why my package still is ISC since May 31,2017 and I don't have updated?",0,14
00019e6de5c31a235308,What does great wit mean?,0,5
0001acfd80069f051d5a,"In your experience working with Realtors, what do you wish Realtors did better?",0,13
0001ad0e065679a75450,How do I get charge by contact?,0,7
0001b135fa7979a6f1f1,Do all public school teachers automatically get vacation whenever they ask for it?,0,13
0001b70b617623c8ec11,What is the role of technology in using a resource?,0,10
0001b85e3c9fa5120e8d,Should I opt Jaypee University Guna for mechanical engineering?,0,9
0001d772cf3019016119,Where can I download Microsoft Word for Windows 2.0 in Hungarian?,0,11
0001dffd4f210f6beedb,What do I need to know about buying a car in South Africa as an American?,0,16
0001eebc552c65f7cec2,"As someone who didn't enjoy Harry Potter and the Order of the Phoenix movie, can I at least enjoy the book of it?",0,23
0001f0071f939299b1eb,"What is the writing style of the book ""How to Resist Prince Charming"" by Linda Kage?",0,16
00020645f451fd420349,My mother expects me to memorize all her usernames and passwords. How can I make her more responsible about them as I will be going to college in one year?,0,30
000209378782897bbd75,"What is that movie in which a kid is fooled into thinking that germs will kill him and so he lives in a bubble for most of his life, but then decides to travel the world in a portable germ-free bubble?",0,41
00021a90cbe0ce61b32a,"Why most of the computer science student buy final year project from outside rather doing it by own, is our education system really that week?",0,25
00021d9215546ed1218e,"What are some ways to shorten your period, and what are the risks of doing it?",0,16
00022b535fb044b4d890,Why do we calead leap year.?,0,6
000249b78b87885aae04,How many days will it take to get rid of spleen enlargement?,0,12
00025639893f22884858,"Which machine learning techniques can be used to extract metadata (font color, size, indentation and alignment) of a word document (.docx) file, and can it be integrated with a web application?",0,31
000256f123aa2d179519,Does it work with girls the way Hitch Will Smith asks not to dance too much?,0,16
00027243b612fd34c656,Why India Act 1935 was so special?,0,7
00028c229b2c0b653c9f,Are there any sports that you don't like?,0,8
0002911c277ef4279692,How do DNA and RNA compare and contrast?,0,8
00029d76717deaff60f6,Someone breaks into your house you shoot and kill them they were armed with only a knife what happens now?,0,20
0002a5d3323091795169,How can I write a biography about Gianni Versace?,0,9
0002afefccf8ba6bc77a,Are extroverted better and faster at processing and expelling information than introverts?,0,12
0002b9d73d24af32a648,Have you ever been recognized at a place very far from your home?,0,13
0002bab68e02485cb64a,Why do price comparison websites work well in financial services?,0,10
0002c107cf3c31895a5b,Does ragging happen at NIFT Bangalore?,0,6
0002c3835360dcb57597,Why their are so many bad reviews of Bahubali 2 on IMDb?,0,12
0002f3b3cfe43608d043,What are the theories in critical thinking?,0,7
0002f70cd6c744df04fb,"What are the biggest problems, questions, doubts that you come across when trying to choose the paint color for a room?",0,21
0002f8ab3bf8d179a3b8,How can I get cheap flights in Edinburgh?,0,8
0003105b9e363b93d2cb,What is China's new chick?,0,5
000328ae66a708c0622d,How do I send large picture files through an email?,0,10
0003295da69adf36fd0c,Why doesn't eBay allow the sale of WWII purple heart medals even though they have categories specifically for WWII military medals?,0,21
00032cb9dab5b4033cc4,What are the characteristics that define isovolumetric relaxation?,0,8
00032ccff3c5f6fc0d00,How do I work in cybersecurity overseas?,0,7
00033991dd3302d609e2,Do web developer refer to W3C standard practice?,0,8
000349b6feabae3f6253,Why has the internet become a problem? Why do we rely on it for everything?,0,15
00034c0cdb2a9a04be3e,Can we get ITC on charges levied by banks?,0,9
0003637c6061714d52a2,What are the services that can be provided by a food testing lab and what are their certified requirements?,0,19
00038603da34d34f87cd,Is it ok to be solo your whole life and pretend no one exists? Is there such thing as being unwanted?,0,21
0003888b6173d1b67eda,How do I change the owner of a current YouTube account? The original Owner was let go and I do not have access to change anything.,0,26
00038db9f9728f7e1775,Are the Archer characters animated based on celebrities?,0,8
00038ee6bf4553590414,What is the best way to propose a girl without annoying her?,0,12
0003a067fbf4d02393a2,What can $500 million get you in solar power?,0,9
0003a1d388c596990438,What are the recommended 2D game engines for a beginning Python programmer?,0,12
0003a32a4c69db9ba24c,Is there such a thing as teleological pantheism?,0,8
0003a3c38ffc828004d8,What are some best college for aircraft propulsion(M.S)?,0,8
0003bc3a60964971ddfd,What countries in the world have freedom of speech on par with the US?,0,14
0003c2d35a826c62f194,What lead to the Red Terror in Ethiopia?,0,8
0003cf279e2d16706bfb,What is the best pen at low cost in all sorts of things?,0,13
0003d2546ef7cfb68592,Do you trust a business that has a Facebook page as its website?,0,13
0003dd88b54929c683bd,Should we improve our piano skill by keep practicing hard pieces? Is that the most effective way?,0,17
0003ec83eeb432806fb4,"I wear an insulin pump, and a lot of girls don't like it. Nick Jonas wears one and dated Selena Gomez. Is there difference between me and Nick several zeros missing in my bank account?",0,35
0003ed83c24563455692,Will Turkey be seperated and give a land to Kurds because of foreign powers like USA in the future?,0,19
0003f094c836f6fb71e7,R sq. cos-1 when r=18.5 equals?,0,6
0004186360074b604164,Who sings the song in my head?,0,7
00041ab3e4fc034848cf,Can Chronicled replace supply Chain?,0,5
00041ba380e361cefb78,How can you solve this equation… Sin(a*t)-b*t=0?,0,7
0004205e9c6b9cbde64d,What are the demerits of excellence in academic pursuits?,0,9
000422c7d78c3664b426,"How many Indians are in Melbourne, Australia?",0,7
00043c2c68e74328c456,"What do physicists, mathematicians, computer scientists and philosophers think of David Deutsch's 'Constructor Theory'?",0,14
00043d911af1cfbdb5f3,Why are old scriptures from eastern cultures appear lost in the current culture?,0,13
000441059c27001eb255,"Can I know my I.Q, even if I hate numbers?",0,10
00045f3b9fcb27975e26,How can I really make up my mind and get rid of my bad habits like procrastination?,0,17
00046512985c0996339e,Was there any relationship between Napoleon and Ali Pasha of Tepelene?,0,11
000467723d6f04760035,Where are presynaptic neurons found?,0,5
000477ab08d14b6a047d,What ways will a narcissist mother punish her child for going no contact if child goes back to contact with her?,0,21
000485e6dd4b149fe051,Can I start freelancing after finishing Udacity's Android basic nanodegree?,0,10
000488ff2dbaa802b4d9,What is the reason why we really need Bitcoin?,0,9
0004a41beea5f02d85ef,What are some good songs for a long journey?,0,9
000500e5d543e112707e,What should be added to thrice the rational number -8/9 to get 4/7?,0,13
0005037036efa7507699,"In a four movement symphony, what is typically the form of the second movement?",0,14
000525a468b75805135d,What are various stock exchanges?,0,5
0005401e50ab76bb603d,"What do the terms Computer Architecture, Microarchitecture and Instruction set Architecture(ISA) mean?",0,12
000546d4647809387b91,"Are iPhone users psychologically trapped in brand naming and avoiding to complain about very reasonable missing features such as battery life performance, that iPhone lacks while other flagship in 2017-2018 are doing doing much better?",0,35
00056c4d8c51ad92d3d1,How long is one semester in Ontario?,0,7
000585cb79d4fad61fb0,What are the best ways to add flour to a homemade chili?,0,12
0005893de9a677ad97c2,What advice do you have for anyone who wishes to accomplish what you have?,0,14
00059fdb387101ce73d3,How do overcome my extreme fear of insects and bugs?,0,10
00059fe5d7eea7b17e77,What are some examples of durable work gloves?,0,8
0005a7bae94f5a721613,"2 cars move 6 miles towards each other and then move 8 miles in oppostie direction, what is the distance between them?",0,22
0005ac1fb4efa2e7f266,What apps do you use the most for work in a given day?,0,13
